pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,pracBkgdKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,strife,tariff,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/delude_TT_3X.mp4,galley,delude,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, galley,"['g', 'a', 'l', 'e', 'y', 'backspace', 'backspace', 'l', 'e', 'y', 'return']","[0.46572330011986196, 1.1774493001867086, 1.3132665001321584, 1.5611857001204044, 1.6891462001949549, 2.3372633000835776, 2.449633500073105, 2.689208400202915, 2.793248600093648, 2.9772927002049983, 3.0894575000274926]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,murmur,ritual,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/clergy_touch_edited.mp4,portal,clergy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, portal,"['p', 'o', 'r', 't', 'a', 'a', 'backspace', 'l', 'return']","[0.6697148000821471, 0.7337287000846118, 0.9579682999756187, 1.0381377001758665, 1.4058360999915749, 1.6698580000083894, 2.3337966999970376, 2.605720200110227, 2.9498241001274437]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,satire,cortex,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/induce_touch_edited.mp4,mussel,induce,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mussel,"['comma', 'backspace', 'm', 'u', 's', 's', 'e', 'l', 'return']","[0.6004516000393778, 1.0402999999932945, 1.2644688000436872, 1.4561809999868274, 1.5766644000541419, 1.7211527000181377, 1.8882098998874426, 1.9605262000113726, 2.376452799886465]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,musket,subtle,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fungal_touch_edited.mp4,mucous,fungal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, mucous,"['m', 'u', 'c', 'o', 'u', 's', 'return']","[0.7883588999975473, 1.0120702998246998, 1.3481087000109255, 1.4839378998149186, 1.572278699837625, 1.6279647999908775, 2.1719567999243736]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,goblet,botany,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/trench_touch_edited.mp4,ethnic,trench,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ethnic,"['e', 't', 'h', 'n', 'i', 'c', 'return']","[0.5022909000981599, 0.7103124998975545, 0.8143674999009818, 0.9902655000332743, 1.0622304000426084, 1.1984932001214474, 1.454294400056824]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,legion,subdue,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/feudal_touch_edited.mp4,matron,feudal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, matron,"['m', 'a', 't', 'r', 'o', 'n', 'return']","[0.7580846999771893, 0.8943100001197308, 1.1579136000946164, 1.3257449001539499, 1.4299669000320137, 1.509894800139591, 1.7740074000321329]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,pursue,debtor,19.5,20.5,video&audio/Sentence1_touch_edited.mp4,video&audio/output_touch_edited.mp4,uphold,output,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, uphold,"['u', 'p', 'h', 'o', 'l', 'd', 'return']","[0.8832420001272112, 1.0032111001200974, 1.2672815001569688, 1.4511242001317441, 1.6511643000412732, 1.7471621001604944, 2.1952747001778334]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,mirage,malady,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/shrewd_TT_3X.mp4,revoke,shrewd,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, revoke,"['r', 'e', 'v', 'o', 'k', 'e', 'return']","[0.6470120998565108, 0.7590375000145286, 1.0311663998290896, 1.1270353998988867, 1.199218099936843, 1.295020499965176, 1.4951877000276]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,potent,neural,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/septic_TT_3X.mp4,ordain,septic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, ordain,"['o', 'r', 'd', 'a', 'i', 'n', 'return']","[0.680990100139752, 0.8250434000510722, 1.0249958999920636, 1.417303099995479, 1.497308700112626, 1.5452418001368642, 1.8650160001125187]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,savant,cervix,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/cobble_touch_edited.mp4,export,cobble,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, export,"['e', 'x', 'p', 'o', 'r', 't', 'return']","[0.6733227998483926, 0.9051180998794734, 1.0734853998292238, 1.1372648999094963, 1.2977533999364823, 1.4174313000403345, 1.5613437998108566]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,sonnet,confer,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/innate_TT_3X.mp4,tamper,innate,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, tamper,"['t', 'a', 'm', 'p', 'e', 'r', 'return']","[0.828189899912104, 1.3323646998032928, 1.476315899984911, 1.572051899973303, 1.6920558998826891, 1.8280742999631912, 1.964109999826178]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,brazen,piston,19.5,20.5,video&audio/Sentence3_touch_edited.mp4,video&audio/caviar_touch_edited.mp4,shrill,caviar,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, shrill,"['s', 'h', 'i', 'backspace', 'r', 'i', 'l', 'l', 'return']","[0.7341213000472635, 0.846167900133878, 1.254056700039655, 1.8062054000329226, 1.9421377000398934, 2.0220648001413792, 2.3581517001148313, 2.95834150002338, 3.1344089000485837]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,coerce,falter,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/tandem_touch_edited.mp4,origin,tandem,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, origin,"['o', 'r', 'i', 'g', 'i', 'n', 'return']","[0.7128082001581788, 0.8731906001921743, 0.9688192000612617, 1.1287565000820905, 1.2172902000602335, 1.2816510000266135, 1.7849121000617743]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,novice,parcel,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/primal_TT_3X.mp4,entail,primal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, entail,"['e', 'n', 't', 'a', 'i', 'l', 'return']","[0.681990000186488, 0.7939430000260472, 0.9699566001072526, 1.225917600095272, 1.3379101001191884, 1.5298164000269026, 1.9378503002226353]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,binder,forage,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/campus_touch_edited.mp4,allure,campus,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None, allure,"['a', 'l', 'l', 'u', 'r', 'e', 'return']","[0.7638634000904858, 0.8598883000668138, 0.9718735001515597, 1.1878971001133323, 1.3558046000543982, 1.435865000123158, 1.627801900031045]",,,,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[4.042680900078267],,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,,,,,,,,,,,,,,,,,,,,visualImageryScale.png,"While imagining yourself typing, how clear was your visual image?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4'],[5.968800999922678],,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,,,,,,,,,,,,,,,,,,,,kinestheticImageryScale.png,"While imagining yourself typing, how intense were the sensations associated with the imagined movement?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['5'],[4.6599884000606835],,,,,,,,,,,,,,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,goblet,botany,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/trench_touch_edited.mp4,ethnic,trench,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066.5489217999857,2073.066035500029,None, butter,"['b', 'u', 't', 't', 'e', 'r', 'return']","[0.7058953999076039, 0.8175478999037296, 1.0335740998852998, 1.1856531999073923, 1.3618125000502914, 1.481479899957776, 1.6095479999203235]",2109.3770240999293,2128.8930498999543,None, botany,"['b', 'o', 't', 'a', 'n', 'y', 'return']","[0.7807533999439329, 0.8686548999976367, 0.9806057999376208, 1.2688462000805885, 1.4046847000718117, 1.5489294999279082, 1.8290268999990076]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,infirm,pulpit,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/oblige_TT_3X.mp4,mystic,oblige,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131.749936999986,2138.266900599934,None, pulpit,"['p', 'u', 'p', 'l', 'i', 't', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'l', 'p', 'o', 't', 'backspace', 'backspace', 'backspace', 'backspace', 'u', 'l', 'p', 'i', 't', 'return']","[0.7451190000865608, 0.9371133001986891, 1.1691190002020448, 1.2731213001534343, 1.6012875000014901, 1.7528759001288563, 2.584933000151068, 2.7129909000359476, 2.8490159001667053, 2.9690434001386166, 3.192979000043124, 3.5051003000698984, 3.601264600176364, 3.865114400163293, 3.9611153001897037, 4.265042700106278, 4.401015700073913, 4.54493820015341, 4.69687890005298, 5.297009099973366, 5.536953800125048, 5.633389200083911, 5.785151100018993, 5.8889572999905795, 6.50512080010958]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,savant,cervix,19.5,20.5,video&audio/Sentence2_touch_edited.mp4,video&audio/cobble_touch_edited.mp4,export,cobble,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145.8103736001067,2165.3264641999267,None, cervix,"['c', 'e', 'r', 'v', 'i', 'x', 'return']","[1.0049525001086295, 1.2054518999066204, 1.373011500108987, 2.0129937999881804, 2.132913300069049, 2.2449586999136955, 2.764990899944678]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,sherry,jackal,6.5,7.5,video&audio/sentence4_TT_3X.mp4,video&audio/hamlet_TT_3X.mp4,shroud,hamlet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2169.1202992000617,2175.637426099973,None, jacka;,"['j', 'a', 'c', 'k', 'a', 'semicolon', 'return']","[0.7816691999323666, 0.8775895999278873, 1.110269600059837, 1.2061973998788744, 1.3337975000031292, 1.4376610000617802, 1.8697096998803318]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/amount_TT_3X.mp4,video&audio/butter_TT_3X.mp4,plight,ascend,6.5,7.5,video&audio/sentence2_TT_3X.mp4,video&audio/metric_TT_3X.mp4,eatery,metric,2 = AOMIspec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.537129400065,2185.0532705001533,None, ascend,"['a', 's', 'c', 'e', 'n', 'd', 'return']","[0.6859319999348372, 1.1341891998890787, 1.3662583997938782, 1.5741688997950405, 1.6539912999141961, 1.806102299829945, 2.006063199834898]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,deduct,hippie,6.5,7.5,video&audio/sentence3_TT_3X.mp4,video&audio/hearth_TT_3X.mp4,herbal,hearth,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188.098041099962,2194.6144582999405,None, hippie,"['h', 'i', 'p', 'p', 'i', 'o', 'e', 'return']","[0.727643399965018, 0.8397818000521511, 1.2000039999838918, 1.32788040000014, 1.5196340999100357, 1.5280476999469101, 1.5516712998505682, 2.1838539999444038]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,"This is Section 2.

In this section, your task will be the same as before - that is, to type the word you see on the screen AFTER the typing prompt. However, rather than just seeing the word before typing, you will also see a video of someone typing different words to what you will need to type at different speeds. 

Press 'enter/return' to go to the next page.","This is Section 4. 

In this section, your task will be the same as before - that is, to type the word you see on the screen after the typing prompt. You will see a video again, like in Section 2, only this time, the video will show someone the same word that you must type at different speeds. 

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_layout.png,1.6,0.6,afford,19.5,20.5,video&audio/amount_touch_edited.mp4,video&audio/afford_touch_edited.mp4,vanity,matrix,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/hinder_TT_3X.mp4,breach,hinder,1 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197.8470306000672,2204.3631198001094,None, matrix,"['m', 'a', 't', 'r', 'i', 'x', 'return']","[0.7754017999395728, 0.9034279000479728, 1.1594871999695897, 1.3354536001570523, 1.5994617000687867, 1.7274982000235468, 1.927562199998647]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,satire,cortex,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/induce_touch_edited.mp4,mussel,induce,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207.3248687000014,2226.8401286001317,None, cortex,"['o', 'r', 't', 'e', 'x', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'c', 'o', 'r', 't', 'e', 'x', 'return']","[0.6754142001736909, 0.9150619001593441, 1.1551214000210166, 1.2591345000546426, 1.5151919000782073, 1.9873904001433402, 2.115209200186655, 2.235917800106108, 2.3632914000190794, 2.6910700001753867, 3.011250700103119, 3.107104000169784, 3.2674668000545353, 3.3955285002011806, 3.4912727000191808, 3.7713709000963718, 3.9151595002040267]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,mirage,malady,6.5,7.5,video&audio/sentence1_TT_3X.mp4,video&audio/shrewd_TT_3X.mp4,revoke,shrewd,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231.8018545999657,2238.3178634999786,None, malady,"['m', 'a', 'l', 'a', 'd', 'y', 'return']","[0.693589000031352, 0.8296711000148207, 0.9175124999601394, 1.0295866001397371, 1.197496599983424, 1.2776153001468629, 1.8695928000379354]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,novice,parcel,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/primal_TT_3X.mp4,entail,primal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.2164231000934,2247.73330130009,None, parcel,"['p', 'a', 'r', 'c', 'e', 'l', 'return']","[0.755985900061205, 0.8438292001374066, 1.0758523000404239, 1.2838022001087666, 1.4439459000714123, 1.5077699001412839, 1.939805299974978]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,murmur,ritual,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/clergy_touch_edited.mp4,portal,clergy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260.318481200142,2279.833840999985,None, ritual,"['r', 'e', 'i', 't', 'u', 'a', 'l', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'i', 't', 'u', 'a', 'l', 'return']","[0.696286499965936, 0.8087234999984503, 0.9524811999872327, 1.0965432000812143, 1.2243575998581946, 1.3766514000017196, 1.5203893999569118, 1.960347899934277, 2.0884716999717057, 2.224366999929771, 2.3523349000606686, 2.4724435000680387, 2.8164321000222117, 3.1443540998734534, 3.248850699979812, 3.3525072999764234, 3.5130362000782043, 3.592974500032142, 4.064355100039393]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,impose,belfry,19.5,20.5,video&audio/Sentence6_touch_edited.mp4,video&audio/girdle_touch_edited.mp4,linear,girdle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2284.9409330000635,2304.4563780999742,None, belfry,"['b', 'e', 'l', 'f', 'r', 'y', 'return']","[0.667030300013721, 0.8514886000193655, 0.9471050000283867, 1.1631084999535233, 1.2993652999866754, 1.3713110000826418, 1.7390702001284808]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,critic,obsess,6.5,7.5,video&audio/sentence5_TT_3X.mp4,video&audio/zephyr_TT_3X.mp4,fusion,zephyr,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2307.2288748000283,2313.747372600017,None, obsess,"['o', 'b', 's', 'e', 's', 's', 'return']","[1.0070390000473708, 1.1032701001968235, 1.2231423000339419, 1.398898300016299, 1.5670237001031637, 1.6871423001866788, 1.9510891002137214]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,musket,subtle,19.5,20.5,video&audio/Sentence5_touch_edited.mp4,video&audio/fungal_touch_edited.mp4,mucous,fungal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316.7286364000756,2336.2440025999676,None, subtle,"['s', 'u', 'b', 't', 'l', 'e', 'return']","[0.646186999976635, 0.7662420999258757, 0.8380523000378162, 1.014047299977392, 1.1820338000543416, 1.2540512001141906, 1.7099619000218809]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
,None,None,None,None,None,None,None,None,None,None,coerce,falter,19.5,20.5,video&audio/Sentence4_touch_edited.mp4,video&audio/tandem_touch_edited.mp4,origin,tandem,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338.9974510001484,2358.51269270014,None, falter,"['f', 'a', 'l', 't', 'e', 'r', 'return']","[0.5693288000766188, 0.7776260001119226, 0.8493953000288457, 1.1611385999713093, 1.2491180000361055, 1.3855043000075966, 1.609883600147441]",,,,,,,,,,9,001,F,2023_Feb_22_1243,student_TT_local,2021.1.4,48.021006343742876,
