pracWords,instr_1,instr_2,AOMI_Ima,AOMI_w,AOMI_h,practiceWords,prac_time,prac_bkgd_time,pracVid_1,pracVid_2,baseline_words,control_words,cont_time,cont_bgkd_time,first_vids,second_vids,AOMIfirst_words,AOMIsecond_words,Order,ratingScale,rateInstr,instructLoop.thisRepN,instructLoop.thisTrialN,instructLoop.thisN,instructLoop.thisIndex,practice_control.thisRepN,practice_control.thisTrialN,practice_control.thisN,practice_control.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,baseRateLoop.thisRepN,baseRateLoop.thisTrialN,baseRateLoop.thisN,baseRateLoop.thisIndex,AOMIinstrLoop1.thisRepN,AOMIinstrLoop1.thisTrialN,AOMIinstrLoop1.thisN,AOMIinstrLoop1.thisIndex,AOMIpracLoop.thisRepN,AOMIpracLoop.thisTrialN,AOMIpracLoop.thisN,AOMIpracLoop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AOMI1rateLoop.thisRepN,AOMI1rateLoop.thisTrialN,AOMI1rateLoop.thisN,AOMI1rateLoop.thisIndex,contInstrLoop.thisRepN,contInstrLoop.thisTrialN,contInstrLoop.thisN,contInstrLoop.thisIndex,contPracLoop.thisRepN,contPracLoop.thisTrialN,contPracLoop.thisN,contPracLoop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,contRateLoop.thisRepN,contRateLoop.thisTrialN,contRateLoop.thisN,contRateLoop.thisIndex,AOMIinstrLoop2.thisRepN,AOMIinstrLoop2.thisTrialN,AOMIinstrLoop2.thisN,AOMIinstrLoop2.thisIndex,AOMIpracLoop2.thisRepN,AOMIpracLoop2.thisTrialN,AOMIpracLoop2.thisN,AOMIpracLoop2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,AOMI2rateLoop.thisRepN,AOMI2rateLoop.thisTrialN,AOMI2rateLoop.thisN,AOMI2rateLoop.thisIndex,pracBkgdKeys.keys,pracKeys.keys,pracKeys.rt,baseBkgdKeys.keys,base_typedWord,baseKeys.keys,baseKeys.rt,baseBkgdKeys.rt,baseRateTypeKey.keys,baseRateTypeKey.rt,AOMI1_BkgdKeys.keys,AOMI_promptBkgdKeys.keys,AOMI1pracKeys.keys,AOMI1pracKeys.rt,AOMI1bkdgKeys.keys,AOMI1_typedWord,AOMI1keys.keys,AOMI1keys.rt,AOMI_promptBkgdKeys.rt,AOMI1rateTypeKey.keys,AOMI1rateTypeKey.rt,polygon_prac.started,polygon_prac.stopped,contBkgdKeys_prac.keys,contPrac_typedWord,contKeys_prac.keys,contKeys_prac.rt,polygon.started,polygon.stopped,contBkgdKeys.keys,cont_typedWord,contKeys.keys,contKeys.rt,contTypeKey.keys,contTypeKey.rt,bkgdkeys_prac2.keys,bkgdKeys4.keys,AOMI2_typedWord,keyboardCom4.keys,keyboardCom4.rt,AOMI2typeKey.keys,AOMI2typeKey.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,None,None,None,None,None,None,None,None,None,None,herbal,hippie,19.5,20.5,video&audio/sonnet_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,sonnet,hearth,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3496.765684599988,3516.2810173000325,None, hippie,"['h', 'i', 'p', 'p', 'i', 'e', 'return']","[0.7662720000371337, 1.0222632000222802, 1.2787962000002153, 1.4065237999893725, 1.5745561000076123, 1.8461778000346385, 2.1900744999875315]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,eatery,ascend,19.5,20.5,video&audio/plight_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,plight,metric,2 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3535.239085500012,3554.755424700037,None, ascend,"['a', 's', 'c', 'e', 'n', 'd', 'return']","[0.6251748999929987, 0.9211528999730945, 1.1451375000178814, 1.2411088999942876, 1.4091373999835923, 1.5132544999942183, 2.105161199986469]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,origin,falter,6.5,7.5,video&audio/potent_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,potent,tandem,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3557.904258100025,3564.42071070004,None, falter,"['f', 'a', 'l', 't', 'e', 'r', 'return']","[0.8575146000366658, 1.0015651000430807, 1.1615524000371806, 1.4574334000353701, 1.5696159000508487, 1.738204300054349, 2.321556300041266]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,shrill,piston,6.5,7.5,video&audio/pursue_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,pursue,caviar,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3567.7778216000297,3574.29720130004,None, piston,"['p', 'i', 's', 't', 'o', 'n', 'return']","[0.7486262999591418, 1.0127106999862008, 1.148714699957054, 1.412903499964159, 1.5409370999550447, 1.693081799952779, 2.2134275999851525]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,ethnic,botany,6.5,7.5,video&audio/fodder_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,fodder,trench,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3577.5474754000315,3584.064906499989,None, botany,"['n', 'backspace', 'b', 'o', 't', 'a', 'n', 'y', 'return']","[0.7658702000044286, 1.29386269999668, 1.654239299998153, 1.7979040000354871, 2.0939157000393607, 2.181894400040619, 2.3338270999956876, 2.5339647000073455, 3.2701191999949515]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,matron,subdue,6.5,7.5,video&audio/impose_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,impose,feudal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3588.3785082999966,3594.8965050000115,None, subdue,"['s', 'u', 'b', 'd', 'u', 'e', 'return']","[0.7337654000148177, 0.9659045999869704, 1.2062479999731295, 2.1497026999713853, 2.3338159999693744, 2.469978299981449, 3.1179423999856226]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,mystic,pulpit,19.5,20.5,video&audio/infirm_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,infirm,oblige,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599.045729800011,3618.5608300000313,None, pulpit,"['p', 'u', 'l', 'p', 'i', 't', 'return']","[0.30082529998617247, 0.628837600001134, 0.8847468000021763, 1.0693679000250995, 1.2368959999876097, 1.3487965000094846, 1.6448166000191122]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,mussel,cortex,6.5,7.5,video&audio/savant_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,savant,induce,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3621.2522123000235,3627.7677395000355,None, cortex,"['c', 'o', 'r', 't', 'e', 'x', 'return']","[0.7976747999782674, 1.021277200023178, 1.9412626000121236, 2.061430500005372, 2.197564699978102, 3.085338299977593, 3.8933261000202037]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,fusion,obsess,19.5,20.5,video&audio/sherry_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,sherry,zephyr,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3632.70674709999,3652.2232986000017,None, obsess,"['o', 'b', 's', 'e', 's', 's', 'return']","[0.3673434000229463, 0.8153978000045754, 1.0399649000028148, 1.2954519999912009, 1.5036866000154987, 1.6322210000362247, 1.7754864000016823]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,uphold,debtor,6.5,7.5,video&audio/convoy_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,convoy,output,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,28,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.0386989000253,3661.555540500034,None, debtor,"['d', 'e', 'b', 't', 'o', 'r', 'return']","[0.7388886999688111, 0.9947082999860868, 1.1546301000053063, 1.3387481999816373, 1.578646999958437, 1.722783499979414, 2.386942600016482]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,entail,parcel,19.5,20.5,video&audio/novice_touch_edited.mp4,video&audio/Sentence5_touch_edited.mp4,novice,primal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664.976037300017,3684.490311200032,None, parcel,"['p', 'a', 'r', 'c', 'e', 'semicolon', 'backspace', 'l', 'return']","[0.923593699990306, 1.1633262999821454, 1.4109465000219643, 1.5549144999822602, 1.8670079999719746, 2.0590158000122756, 2.8195776999928057, 3.1390988000202924, 3.4592210999689996]",,,,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,,,,,,,,,,,,,,,,,,,,typingRatingScale.png,"How would you rate your typing performance in the previous section?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['3'],[4.648796499997843],,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,,,,,,,,,,,,,,,,,,,,imageryCheckScale.png,"In the previous section did you imagine yourself typing?

Press a number on your keyboard according to the rating scale below to give your answer. Your first answer will be accepted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['2'],[5.972799899987876],,,,,,,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,warble,devise,6.5,7.5,video&audio/satire_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,satire,mangle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,24,,,,,,,,,,,,,,,,None,"['b', 'u', 't', 't', 'e', 'r', 'return']","[0.8338950999896042, 1.0818581000203267, 1.4896525000222027, 1.6259388999897055, 1.698007500031963, 1.8659989000298083, 2.961575700028334]",,,,,,,,,,,,,,,,,,,,,,None,None, mangle,"['m', 'a', 'b', 'backspace', 'n', 'g', 'l', 'e', 'return']","[0.9121771999634802, 1.112416399992071, 1.4081574999727309, 2.0881818999769166, 2.4881019999738783, 2.800240999960806, 3.0960764999617822, 3.3361007999628782, 3.992231599986553]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,nettle,plasma,6.5,7.5,video&audio/deduct_TT_3X.mp4,video&audio/sentence5_TT_3X.mp4,deduct,jailer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,16,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, jailer,"['j', 'a', 'i', 'l', 'e', 'r', 'return']","[0.570199900015723, 0.9222142000216991, 1.0983052999945357, 1.2738845000276342, 1.4741649000206962, 1.6503141000284813, 2.258346100046765]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,allure,forage,6.5,7.5,video&audio/legion_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,legion,campus,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,29,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, campus,"['c', 'a', 'm', 'p', 'u', 's']","[0.9879078000085428, 1.2438333999598399, 1.6999306000070646, 1.9159526999574155, 2.1399202999891713, 2.236622199998237]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,ethnic,botany,6.5,7.5,video&audio/fodder_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,fodder,trench,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,27,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, trench,"['t', 'r', 'e', 'n', 'c', 'h', 'return']","[0.830271199985873, 1.030327699962072, 1.1905603999621235, 1.3343118999619037, 1.4306769999675453, 1.5346851999638602, 1.9902396999532357]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,shrill,piston,6.5,7.5,video&audio/pursue_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,pursue,caviar,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,20,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, caviar,"['c', 'a', 'v', 'i', 'a', 'r', 'return']","[0.76332889997866, 1.0195875000208616, 1.1873131999745965, 1.459002599993255, 1.891108500014525, 2.0512943000067025, 2.9793235000106506]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,matron,subdue,6.5,7.5,video&audio/impose_TT_3X.mp4,video&audio/sentence3_TT_3X.mp4,impose,feudal,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,26,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, feudal,"['d', 'backspace', 'f', 'e', 'u', 'd', 'a', 'semicolon', 'backspace', 'l', 'return']","[0.4794069000054151, 1.1033277000533417, 1.342756099998951, 1.9675585000077263, 2.2868728000321425, 3.095112800016068, 3.350924300029874, 3.6951267000404187, 4.438754900009371, 4.766755200049374, 5.342681500012986]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,mussel,cortex,6.5,7.5,video&audio/savant_TT_3X.mp4,video&audio/sentence4_TT_3X.mp4,savant,induce,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,21,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, induce,"['i', 'n', 'd', 'u', 'c', 'e', 'return']","[0.7054767000372522, 0.9530758000328206, 1.169108400004916, 1.3615271000307985, 1.5214312000316568, 1.7212113999994472, 2.1691784000140615]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,"While you watch the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.","While watching the video, imagine yourself typing the word on the screen, like how you did in the imagery practice. While you watch the video and imagine this, rest your hands on your keyboard but DO NOT type until AFTER you see the typing prompt.

Press 'enter/return' to go to the next page.",video&audio/Example_AOMI_imagine.png,1.6,1,butter,6.5,7.5,video&audio/butter_TT_3X.mp4,video&audio/amount_TT_3X.mp4,eatery,ascend,19.5,20.5,video&audio/plight_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,plight,metric,2 = AOMIgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, metric,"['m', 'e', 't', 'r', 'i', 'c', 'return']","[0.8486142000183463, 1.0405334000242874, 1.2967789000249468, 1.480600900016725, 1.592658500012476, 1.832561600022018, 2.4806076000095345]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,uphold,debtor,6.5,7.5,video&audio/convoy_TT_3X.mp4,video&audio/sentence1_TT_3X.mp4,convoy,output,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,18,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, output,"['p', 'backspace', 'o', 'u', 't', 'p', 'u', 't', 'return']","[0.6991712999879383, 1.163109400018584, 1.4427715000347234, 1.6910559000098146, 1.9151103000040166, 2.051539500011131, 2.474891000019852, 2.65910960000474, 3.0111321000149474]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,tamper,confer,19.5,20.5,video&audio/critic_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,critic,innate,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,12,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, innate,"['i', 'n', 'n', 'a', 't', 'e', 'return']","[0.7134073000052013, 0.897590400010813, 1.5454870000248775, 1.721525400003884, 1.8735875000129454, 1.9934585000155494, 2.6977853000280447]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,export,cervix,6.5,7.5,video&audio/murmur_TT_3X.mp4,video&audio/sentence2_TT_3X.mp4,murmur,cobble,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,19,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, cobble,"['c', 'o', 'b', 'b', 'l', 'e', 'return']","[0.6724563000025228, 0.880459800013341, 1.1683801999897696, 1.2803352000191808, 1.496821100008674, 1.6166430999874137, 2.176424400007818]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,ration,solemn,19.5,20.5,video&audio/goblet_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,goblet,befall,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,8,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, befall,"['b', 'e', 'f', 'a', 'l', 'l', 'return']","[0.48149999999441206, 0.8738729000324383, 1.129451800021343, 1.489563100039959, 1.8099173000082374, 1.945802200003527, 2.5134809000301175]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,ordain,neural,19.5,20.5,video&audio/quarry_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,quarry,septic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,13,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, septic,"['s', 'e', 'p', 't', 'i', 'c', 'return']","[0.9058851000154391, 1.3058880000025965, 1.5858330000191927, 1.8179283000063151, 1.9864611999946646, 2.193886300025042, 2.5542171000270173]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,revoke,malady,19.5,20.5,video&audio/mirage_touch_edited.mp4,video&audio/Sentence1_touch_edited.mp4,mirage,shrewd,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,6,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, shrewd,"['s', 'h', 'r', 'e', 'w', 'd', 'return']","[0.7832933000172488, 0.9592150000389665, 1.2311162000405602, 1.4230175000266172, 1.6233401999925263, 1.8710000000428408, 2.5432802000432275]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,linear,belfry,6.5,7.5,video&audio/manure_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,manure,girdle,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,23,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, girdle,"['g', 'i', 'r', 'd', 'l', 'e', 'return']","[0.6574259999906644, 0.9051704999874346, 1.0728766999673098, 1.336891499988269, 1.4649499999941327, 1.5448497000033967, 1.9688714999938384]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,apathy,virile,19.5,20.5,video&audio/revolt_touch_edited.mp4,video&audio/Sentence6_touch_edited.mp4,revolt,joiner,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,5,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, joiner,"['j', 'o', 'i', 'n', 'e', 'r', 'return']","[0.5786491999751888, 0.810892999987118, 1.0108358999714255, 1.194660599983763, 1.3867427000077441, 1.5947139000054449, 1.7866758999880403]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,mystic,pulpit,19.5,20.5,video&audio/infirm_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,infirm,oblige,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,3,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, oblige,"['o', 'b', 'l', 'i', 'g', 'e', 'return']","[0.7295300000114366, 0.9696688000112772, 1.0416269999695942, 1.2335137000191025, 1.5534580000094138, 1.6893692999728955, 2.0974483999889344]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,portal,ritual,6.5,7.5,video&audio/coerce_TT_3X.mp4,video&audio/sentence6_TT_3X.mp4,coerce,clergy,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, clergy,"['c', 'l', 'e', 'r', 'g', 'y', 'return']","[0.9221375999622978, 1.0982768999529071, 1.322054099990055, 1.530127799953334, 1.6500932999770157, 1.8023162999888882, 2.442105099966284]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,"Remember to type as QUICKLY and ACCURATELY as possible after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.","Remember to type as QUICKLY and ACCURATELY as you can after the 'get ready' prompt.

Ask the experimenter any questions now. Please put on the headphones.

You will get one practice trial. Press 'enter/return' when you are ready to start the practice.",video&audio/Example_AOMI_total.png,1.8,0.7,None,None,None,None,None,ghetto,frugal,19.5,20.5,video&audio/jargon_touch_edited.mp4,video&audio/Sentence3_touch_edited.mp4,jargon,oppose,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,2,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, oppose,"['o', 'p', 'p', 'o', 's', 'e', 'return']","[0.8605014000204392, 1.0526494000223465, 1.2047637000214309, 1.3409526000032201, 1.5085727999685332, 1.7246121999924071, 1.9087269000010565]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,shroud,jackal,19.5,20.5,video&audio/parole_touch_edited.mp4,video&audio/Sentence4_touch_edited.mp4,parole,hamlet,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,9,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, hamlet,"['h', 'a', 'm', 'l', 'e', 't', 'return']","[0.8008643999928609, 0.9688369000214152, 1.2488445999915712, 1.4328190999804065, 1.6331543999840505, 1.7849113999982364, 2.4730023000156507]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
,None,None,None,None,None,None,None,None,None,None,galley,tariff,19.5,20.5,video&audio/strife_touch_edited.mp4,video&audio/Sentence2_touch_edited.mp4,strife,delude,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,7,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,None, delude,"['d', 'e', 'l', 'u', 'd', 'e', 'return']","[0.6866570000420325, 0.902234600041993, 0.9903679999988526, 1.2702333999914117, 1.4783457000157796, 1.6462085000239313, 2.134453700040467]",,,22,001,C,2023_Feb_15_1045,student_TT_local,2021.1.4,48.06035611618135,
