ParticipantID,TypingStyle,Group,FirstAOMICondition,UsedComputer?,ComputerUse_mins,EHI-Type,EHI-Answer,EHI-Score,EHI-Mean,EHI-Laterality,KVIQ-ImageryType,KVIQ-MovementType,KVIQ-Dominance,KVIQ-Score,KVIQ-VId(max=20),KVIQ-VInd(max=20),KVIQ-VI_total(max=45),KVIQ-KId(max=20),KVIQ-KInd(max=20),KVIQ-KI_total(max=45),CRT-Hand,CRT-Trial,CRT-Time(secs),CRT-Rhand,CRT_Lhand
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,TFT,d,3,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,FSF,d,4,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,TFT,nd,3,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,FTF,0,5,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,HA,d,4,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,FT,nd,4,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,HA,nd,5,,,,,,,,,,,
14,Touch,G,AOMIspec,Yes,120,,,,,Mixed ,Kinesthetic,FT,d,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,Writing,Always right,100,100,Right,Visual,FSF,nd,3,14,11,30,15,14,34,Left,1,18.89,18.66666667,18.93333333
17,Touch,B,AOMIgen,Yes,15,Throwing,Always right,100,,Right,Visual,TFT,d,4,,,,,,,Left,2,20.34,,
17,Touch,B,AOMIgen,Yes,15,Toothbrushing,Always right,100,,Right,Visual,FSF,d,3,,,,,,,Left,3,17.57,,
17,Touch,B,AOMIgen,Yes,15,Spoon,Always right,100,,Right,Visual,TFT,nd,4,,,,,,,Right,1,18.93,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,FTF,0,5,,,,,,,Right,2,19.49,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,HA,d,4,,,,,,,Right,3,17.58,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,FT,nd,2,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,HA,nd,2,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Visual,FT,d,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FSF,nd,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,TFT,d,5,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FSF,d,4,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,TFT,nd,5,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FTF,0,5,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,HA,d,2,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FT,nd,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,HA,nd,3,,,,,,,,,,,
17,Touch,B,AOMIgen,Yes,15,,,,,Right,Kinesthetic,FT,d,4,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,Writing,Always right,100,100,Right,Visual,FSF,nd,3,11,11,26,14,13,29,Left,1,20.01,16.59333333,19.9
2,Touch,H,AOMIgen,Yes,300,Throwing,Always right,100,,Right,Visual,TFT,d,3,,,,,,,Left,2,19.86,,
2,Touch,H,AOMIgen,Yes,300,Toothbrushing,Always right,100,,Right,Visual,FSF,d,3,,,,,,,Left,3,19.83,,
2,Touch,H,AOMIgen,Yes,300,Spoon,Always right,100,,Right,Visual,TFT,nd,3,,,,,,,Right,1,17.45,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,FTF,0,4,,,,,,,Right,2,14.55,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,HA,d,3,,,,,,,Right,3,17.78,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,FT,nd,2,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,HA,nd,3,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Visual,FT,d,2,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FSF,nd,4,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,TFT,d,3,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FSF,d,4,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,TFT,nd,2,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FTF,0,2,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,HA,d,3,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FT,nd,4,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,HA,nd,3,,,,,,,,,,,
2,Touch,H,AOMIgen,Yes,300,,,,,Right,Kinesthetic,FT,d,4,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,Writing,Always right,100,100,Right,Visual,FSF,nd,4,19,19,42,15,15,33,Left,1,29.53,26.21,24.43333333
3,Touch,A,AOMIspec,Yes,75,Throwing,Always right,100,,Right,Visual,TFT,d,5,,,,,,,Left,2,21.48,,
3,Touch,A,AOMIspec,Yes,75,Toothbrushing,Always right,100,,Right,Visual,FSF,d,5,,,,,,,Left,3,22.29,,
3,Touch,A,AOMIspec,Yes,75,Spoon,Always right,100,,Right,Visual,TFT,nd,5,,,,,,,Right,1,26.13,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Visual,FTF,0,4,,,,,,,Right,2,24.92,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Visual,HA,d,4,,,,,,,Right,3,27.58,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Visual,FT,nd,5,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Visual,HA,nd,5,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Visual,FT,d,5,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Kinesthetic,FSF,nd,3,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Kinesthetic,TFT,d,4,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Kinesthetic,FSF,d,4,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Kinesthetic,TFT,nd,5,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Kinesthetic,FTF,0,3,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Kinesthetic,HA,d,3,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Kinesthetic,FT,nd,4,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Kinesthetic,HA,nd,3,,,,,,,,,,,
3,Touch,A,AOMIspec,Yes,75,,,,,Right,Kinesthetic,FT,d,4,,,,,,,,,,,
