participantID,Trial,Number,Speed,Adjacency_combined,R,RNG,NSQ,RNG2,Coupon,TPI,Repetition gap (mean)
aklima,22,10,fast,,,,,,,,
aklima,22,2,fast,,,,,,,,
aklima,22,7,fast,,,,,,,,
aklima,22,8,fast,,,,,,,,
aklima,,,,,,,,,,,
aklima,23,4,slow,,,,,,,,
aklima,23,1,slow,,,,,,,,
aklima,23,10,slow,,,,,,,,
aklima,23,9,slow,,,,,,,,
aklima,23,8,slow,,,,,,,,
aklima,23,2,slow,,,,,,,,
aklima,23,5,slow,,,,,,,,
aklima,23,1,slow,,,,,,,,
aklima,23,6,slow,,,,,,,,
aklima,23,4,slow,,,,,,,,
aklima,23,8,slow,,,,,,,,
aklima,23,2,slow,,,,,,,,
aklima,23,9,slow,,,,,,,,
aklima,23,7,slow,,,,,,,,
aklima,23,10,slow,,,,,,,,
aklima,23,1,slow,,,,,,,,
aklima,23,4,slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,24,6,fast,,,,,,,,
aklima,24,1,fast,,,,,,,,
aklima,24,3,fast,,,,,,,,
aklima,24,10,fast,,,,,,,,
aklima,24,2,fast,,,,,,,,
aklima,24,4,fast,,,,,,,,
aklima,,,,,,,,,,,
aklima,25,7,Slow,,,,,,,,
aklima,25,2,Slow,,,,,,,,
aklima,25,3,Slow,,,,,,,,
aklima,25,9,Slow,,,,,,,,
aklima,25,8,Slow,,,,,,,,
aklima,25,7,Slow,,,,,,,,
aklima,25,3,Slow,,,,,,,,
aklima,25,10,Slow,,,,,,,,
aklima,25,1,Slow,,,,,,,,
aklima,25,6,Slow,,,,,,,,
aklima,25,8,Slow,,,,,,,,
aklima,25,3,Slow,,,,,,,,
aklima,25,1,Slow,,,,,,,,
aklima,25,9,Slow,,,,,,,,
aklima,25,10,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,26,10,Slow,,,,,,,,
aklima,26,1,Slow,,,,,,,,
aklima,26,3,Slow,,,,,,,,
aklima,26,4,Slow,,,,,,,,
aklima,26,5,Slow,,,,,,,,
aklima,26,8,Slow,,,,,,,,
aklima,26,3,Slow,,,,,,,,
aklima,26,10,Slow,,,,,,,,
aklima,26,1,Slow,,,,,,,,
aklima,26,7,Slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,27,1,fast,,,,,,,,
aklima,27,6,fast,,,,,,,,
aklima,27,3,fast,,,,,,,,
aklima,27,2,fast,,,,,,,,
aklima,,,,,,,,,,,
aklima,28,2,slow,,,,,,,,
aklima,28,7,slow,,,,,,,,
aklima,28,8,slow,,,,,,,,
aklima,28,10,slow,,,,,,,,
aklima,28,1,slow,,,,,,,,
aklima,28,3,slow,,,,,,,,
aklima,28,2,slow,,,,,,,,
aklima,28,8,slow,,,,,,,,
aklima,28,2,slow,,,,,,,,
aklima,28,5,slow,,,,,,,,
aklima,28,10,slow,,,,,,,,
aklima,,,,,,,,,,,
aklima,29,4,fast,,,,,,,,
aklima,29,6,fast,,,,,,,,
aklima,29,1,fast,,,,,,,,
aklima,29,7,fast,,,,,,,,
aklima,,,,,,,,,,,
aklima,30,7,fast,,,,,,,,
aklima,30,5,fast,,,,,,,,
aklima,30,1,fast,,,,,,,,
aklima,30,8,fast,,,,,,,,
Eve,practice 1,4,Slow,,,,,,,,
Eve,practice 1,6,Slow,,,,,,,,
Eve,practice 1,7,Slow,,,,,,,,
Eve,practice 1,2,Slow,,,,,,,,
Eve,practice 1,3,Slow,,,,,,,,
Eve,practice 1,9,Slow,,,,,,,,
Eve,practice 1,1,Slow,,,,,,,,
Eve,practice 1,5,Slow,,,,,,,,
Eve,practice 1,3,Slow,,,,,,,,
Eve,practice 1,7,Slow,,,,,,,,
Eve,practice 1,4,Slow,,,,,,,,
Eve,practice 1,8,Slow,,,,,,,,
Eve,practice 1,9,Slow,,,,,,,,
Eve,practice 1,1,Slow,,,,,,,,
Eve,practice 1,2,Slow,,,,,,,,
Eve,practice 1,7,Slow,,,,,,,,
Eve,practice 1,6,Slow,,,,,,,,
Eve,practice 1,8,Slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,practice 2,3,fast,,,,,,,,
Eve,practice 2,4,fast,,,,,,,,
Eve,practice 2,6,fast,,,,,,,,
Eve,practice 2,2,fast,,,,,,,,
Eve,practice 2,9,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,1,5,fast,,,,,,,,
Eve,1,3,fast,,,,,,,,
Eve,1,1,fast,,,,,,,,
Eve,1,2,fast,,,,,,,,
Eve,1,1,fast,,,,,,,,
Eve,1,7,fast,,,,,,,,
Eve,1,6,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,2,1,slow,,,,,,,,
Eve,2,1,slow,,,,,,,,
Eve,2,9,slow,,,,,,,,
Eve,2,2,slow,,,,,,,,
Eve,2,3,slow,,,,,,,,
Eve,2,5,slow,,,,,,,,
Eve,2,3,slow,,,,,,,,
Eve,2,6,slow,,,,,,,,
Eve,2,1,slow,,,,,,,,
Eve,2,7,slow,,,,,,,,
Eve,2,8,slow,,,,,,,,
Eve,2,4,slow,,,,,,,,
Eve,2,3,slow,,,,,,,,
Eve,2,5,slow,,,,,,,,
Eve,2,9,slow,,,,,,,,
Eve,2,10,slow,,,,,,,,
Eve,2,1,slow,,,,,,,,
Eve,2,8,slow,,,,,,,,
Eve,2,9,slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,3,1,Slow,,,,,,,,
Eve,3,8,Slow,,,,,,,,
Eve,3,9,Slow,,,,,,,,
Eve,3,7,Slow,,,,,,,,
Eve,3,10,Slow,,,,,,,,
Eve,3,3,Slow,,,,,,,,
Eve,3,2,Slow,,,,,,,,
Eve,3,5,Slow,,,,,,,,
Eve,3,6,Slow,,,,,,,,
Eve,3,4,Slow,,,,,,,,
Eve,3,1,Slow,,,,,,,,
Eve,3,9,Slow,,,,,,,,
Eve,3,2,Slow,,,,,,,,
Eve,3,10,Slow,,,,,,,,
Eve,3,7,Slow,,,,,,,,
